,TIME,DEPTH,TEMP,PRES,PSAL,CNDC
379,19776.203530092593,25,7.783,25.0,33.398,34.533
380,19776.23422453704,25,3.223,27.0,35.041000000000004,31.904
381,19776.248599537037,25,6.223,27.0,35.099000000000004,34.669000000000004
382,19776.251238425928,25,8.519,27.0,33.745,35.522
383,19776.30077546296,25,8.39,25.0,33.528,35.199
384,19776.339988425927,25,8.61,26.0,33.736000000000004,35.594
385,19776.37650462963,25,3.6430000000000002,28.0,35.063,32.298
386,19776.382037037038,25,9.273,26.0,33.881,36.337
387,19776.38701388889,25,6.118,27.0,35.114,34.586
388,19776.48888888889,25,8.948,36.0,34.088,36.242
389,19776.509212962963,25,3.895,26.0,35.050000000000004,32.513
390,19776.526990740742,25,9.212,27.0,33.938,36.336
391,19776.537326388887,25,5.7940000000000005,27.0,35.12,34.294000000000004
392,19776.625092592592,25,9.21,26.0,33.905,36.302
393,19776.631516203703,25,3.5,26.0,35.003,32.12
394,19776.655578703703,25,9.131,25.0,33.885,36.21
395,19776.674189814814,25,5.843,27.0,35.109,34.329
396,19776.72134259259,25,9.107,25.0,33.852000000000004,36.157000000000004
397,19776.745219907407,25,3.575,26.0,35.006,32.19
398,19776.786296296297,25,8.835,25.0,33.663000000000004,35.729
399,19776.813703703705,25,8.655,26.0,33.686,35.588
400,19776.815289351853,25,5.522,27.0,35.122,34.047000000000004
401,19776.866203703703,25,1.617,26.0,34.873,30.352
402,19776.90372685185,25,9.295,25.0,33.89,36.365
403,19776.92732638889,25,9.348,26.0,33.829,36.356
404,19776.945798611112,25,9.297,25.0,33.842,36.322
405,19776.955219907406,25,5.612,27.0,35.122,34.129
406,19776.979849537038,25,9.305,25.0,33.808,36.296
407,19777.025393518517,25,0.266,25.0,34.748,29.086000000000002
408,19777.026574074076,25,9.055,25.0,33.647,35.913000000000004
409,19777.051608796297,25,9.16,25.0,33.908,36.26
410,19777.087604166667,25,9.121,25.0,29.316,31.77
411,19777.10142361111,25,5.621,27.0,35.126,34.142
412,19777.107569444444,25,9.26,25.0,33.796,36.243
413,19777.13204861111,25,8.948,25.0,33.708,35.874
414,19777.1496875,25,1.029,25.0,34.859,29.829
415,19777.163425925926,25,8.925,25.0,33.657000000000004,35.805
416,19777.252789351853,25,6.157,26.0,35.103,34.611000000000004
417,19777.260625,25,9.168000000000001,25.0,33.887,36.246
418,19777.2834375,25,3.457,26.0,34.982,32.064
419,19777.292511574076,25,9.038,26.0,33.889,36.13
420,19777.32474537037,25,9.214,26.0,33.908,36.309
421,19777.34060185185,25,8.675,25.0,33.714,35.633
422,19777.368194444443,25,8.596,25.0,33.716,35.563
423,19777.394050925926,25,9.068,26.0,33.887,36.156
424,19777.405659722222,25,1.7850000000000001,26.0,34.922000000000004,30.538
425,19777.44337962963,25,4.884,27.0,35.117,33.463
426,19777.523333333334,25,2.234,26.0,34.943,30.948
427,19777.539837962962,25,8.57,25.0,33.281,35.126
428,19777.611296296298,25,8.402000000000001,26.0,33.354,35.045
429,19777.623414351852,25,4.8260000000000005,27.0,35.113,33.406
430,19777.62990740741,25,7.847,25.0,33.112,34.323
431,19777.64480324074,25,7.801,25.0,33.162,34.33
432,19777.64659722222,25,3.278,26.0,34.977000000000004,31.900000000000002
433,19777.712893518517,25,7.9750000000000005,26.0,33.585,34.88
434,19777.732569444444,25,7.811,26.0,33.466,34.622
435,19777.767141203705,25,4.211,27.0,34.975,32.734
436,19777.912256944444,25,6.29,25.0,32.819,32.691
437,19777.933657407408,25,7.182,26.0,33.383,33.986000000000004
438,19777.944131944445,25,3.789,27.0,35.073,32.437
439,19777.956539351853,25,3.994,27.0,35.004,32.563
440,19777.973171296297,25,7.934,25.0,33.842,35.083
441,19778.075324074074,25,4.181,25.0,35.001,32.727000000000004
442,19778.0865625,25,8.067,36.0,34.006,35.361000000000004
443,19778.11527777778,25,6.062,25.0,32.904,32.569
444,19778.154826388887,25,5.944,26.0,32.859,32.428
445,19778.208993055556,25,4.374,26.0,34.997,32.898
446,19778.33763888889,25,4.6000000000000005,25.0,34.926,33.04
447,19778.489247685186,25,4.799,25.0,34.876,33.178
448,19778.65983796296,25,4.6080000000000005,25.0,34.886,33.014
449,19778.803495370372,25,4.436,25.0,34.736000000000004,32.732
450,19780.420659722222,25,4.314,27.0,34.876,32.742
451,19780.55943287037,25,4.5920000000000005,27.0,34.897,33.01
452,19780.733113425926,25,4.339,28.0,34.74,32.65
453,19780.85539351852,25,4.486,26.0,34.758,32.796
454,19780.97396990741,25,4.513,27.0,34.838,32.889
455,19781.074733796297,25,3.904,27.0,34.459,32.026
456,19781.1540625,25,4.362,28.0,34.612,32.563
457,19781.252974537038,25,4.389,27.0,34.618,32.59
458,19781.364606481482,25,4.519,28.0,34.683,32.763
459,19781.46804398148,25,4.333,25.0,34.489,32.43
460,19781.47673611111,25,4.121,27.0,34.555,32.299
461,19781.633842592593,25,5.5,26.0,34.886,33.821
462,19781.663321759257,25,4.014,25.0,34.627,32.264
463,19781.74982638889,25,5.022,28.0,34.783,33.301
464,19781.827638888888,25,3.5260000000000002,27.0,34.485,31.714000000000002
465,19781.89605324074,25,4.8500000000000005,27.0,34.766,33.131
466,19782.00710648148,25,5.034,26.0,34.631,33.179
467,19782.147372685187,25,4.744,25.0,34.722,32.997
